date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:16	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%22f7b54e387258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.ttf	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css)
20:23:16	109025/109025	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a5e72a387258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Bootstrap/fonts/glyphicons-halflings-regular.svg	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/css/bootstrap.min.css)
20:23:16	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:06%20GMT	https://validacion.ministeriodeeducacion.gob.do/POST	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/POST	(from https://validacion.ministeriodeeducacion.gob.do/WebResource.axd?d=CQQxqj1-aoSz6dMrzS0pfrAvnQyydkk2YzTlwlpXuLIUVwPF3NChCMEXpeQ0319GdhnjCT1YEdcklThGT3lUhiRJH4HC1OUEDmfgQto2ydA1&t=638399355142847209)
20:23:17	14928/14928	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2001:29:06%20GMT	https://validacion.ministeriodeeducacion.gob.do/	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/index.html	(from https://validacion.ministeriodeeducacion.gob.do/WebResource.axd?d=CQQxqj1-aoSz6dMrzS0pfrAvnQyydkk2YzTlwlpXuLIUVwPF3NChCMEXpeQ0319GdhnjCT1YEdcklThGT3lUhiRJH4HC1OUEDmfgQto2ydA1&t=638399355142847209)
20:23:17	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:07%20GMT	https://validacion.ministeriodeeducacion.gob.do/Popover%20requires%20tooltip.js	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/Popover%20requires%20tooltip.js	(from https://validacion.ministeriodeeducacion.gob.do/Bootstrap/js/bootstrap.min.js)
20:23:17	183088/183088	---M--	200	added ('OK')	application/octet-stream	etag:%22307c7b327258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/fonts/gpweb.eot?ts9oqu	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/fonts/gpwebf495.eot	(from https://validacion.ministeriodeeducacion.gob.do/Content/fonts.css)
20:23:18	182932/182932	---M--	200	added ('OK')	application/octet-stream	etag:%22d1efce327258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/fonts/gpweb.ttf?ts9oqu	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/fonts/gpwebf495.ttf	(from https://validacion.ministeriodeeducacion.gob.do/Content/fonts.css)
20:23:18	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:08%20GMT	https://validacion.ministeriodeeducacion.gob.do/fonts/gpweb.woff?ts9oqu	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/fonts/gpwebf495.woff	(from https://validacion.ministeriodeeducacion.gob.do/Content/fonts.css)
20:23:18	779412/779412	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22291bf5327258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/fonts/gpweb.svg?ts9oqu	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/fonts/gpwebf495.svg	(from https://validacion.ministeriodeeducacion.gob.do/Content/fonts.css)
20:23:18	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:08%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/ecailles.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/ecailles.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:18	2785/2785	---M--	200	added ('OK')	image/png	etag:%22c2ce6337258d91:0%22	https://validacion.ministeriodeeducacion.gob.do/img/escudo_republica_dominicana.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/escudo_republica_dominicana.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:19	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:09%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/serv_alumnos.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/serv_alumnos.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:19	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:09%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/serv_docentes.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/serv_docentes.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:19	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:09%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/serv_otros.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/serv_otros.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:20	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:10%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/pagesheaderbg.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/pagesheaderbg.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:20	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:10%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/contactcenterbg.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/contactcenterbg.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:20	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:10%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/socialbg.jpg	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/socialbg.jpg	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:20	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:10%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/404cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/404cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:21	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:11%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/400cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/400cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:21	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:11%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/403cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/403cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:21	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:11%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/500cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/500cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:22	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:11%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/503cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/503cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:22	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:12%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/504cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/504cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
20:23:22	103/103	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2001:29:12%20GMT	https://validacion.ministeriodeeducacion.gob.do/img/509cartoons.png	C:/Users/admin/Desktop/BACHILLERPOLI/validacion.ministeriodeeducacion.gob.do/img/509cartoons.png	(from https://validacion.ministeriodeeducacion.gob.do/Content/root.min.css)
